freq_hz,freq_over_rbw,magnitude_db
0,0,-9.64327466553287e-16
625,0.000625,-5.44833227864952e-06
1250,0.00125,-2.17914302870598e-05
1875,0.001875,-4.90235980699319e-05
2500,0.0025,-8.71353444868648e-05
3125,0.003125,-0.000136113386392112
3750,0.00375,-0.000195940653030479
4375,0.004375,-0.000266596291937098
5000,0.005,-0.000348055675636619
5625,0.005625,-0.000440290410180967
6250,0.00625,-0.000543268344344062
6875,0.006875,-0.000656953580658489
7500,0.0075,-0.000781306487387531
8125,0.008125,-0.000916283711689081
8750,0.00875,-0.00106183819430329
9375,0.009375,-0.00121791918516814
10000,0.01,-0.00138447226058241
10625,0.010625,-0.00156143934138885
11250,0.01125,-0.00174875871256863
11875,0.011875,-0.00194636504371239
12500,0.0125,-0.00215418941128572
13125,0.013125,-0.00237215932151703
13750,0.01375,-0.00260019873505243
14375,0.014375,-0.00283822809220385
15000,0.015,-0.00308616433988508
15625,0.015625,-0.0033439209596745
16250,0.01625,-0.00361140799671422
16875,0.016875,-0.00388853209020318
17500,0.0175,-0.00417519650479953
18125,0.018125,-0.0044713011633379
18750,0.01875,-0.00477674268045371
19375,0.019375,-0.00509141439768834
20000,0.02,-0.00541520641938848
20625,0.020625,-0.00574800564997538
21250,0.02125,-0.0060896958321969
21875,0.021875,-0.00644015758647366
22500,0.0225,-0.00679926845138953
23125,0.023125,-0.00716690292514749
23750,0.02375,-0.007542932508401
24375,0.024375,-0.00792722574757264
25000,0.025,-0.00831964827985396
25625,0.025625,-0.00872006287872416
26250,0.02625,-0.00912832950081004
26875,0.026875,-0.00954430533353299
27500,0.0275,-0.00996784484384508
28125,0.028125,-0.0103987998279558
28750,0.02875,-0.010837019462026
29375,0.029375,-0.0112823503536327
30000,0.03,-0.0117346365944725
30625,0.030625,-0.0121937198135436
31250,0.03125,-0.0126594392318061
31875,0.031875,-0.0131316317171679
32500,0.0325,-0.0136101318406547
33125,0.033125,-0.0140947719333572
33750,0.03375,-0.014585382144193
34375,0.034375,-0.0150817904985033
35000,0.035,-0.0155838229573268
35625,0.035625,-0.0160913034777629
36250,0.03625,-0.0166040540737444
36875,0.036875,-0.0171218948777842
37500,0.0375,-0.0176446442033669
38125,0.038125,-0.0181721186079688
38750,0.03875,-0.0187041329570084
39375,0.039375,-0.0192405004881991
40000,0.04,-0.0197810328765802
40625,0.040625,-0.0203255403004363
41250,0.04125,-0.0208738315075319
41875,0.041875,-0.021425713882105
42500,0.0425,-0.0219809935122535
43125,0.043125,-0.0225394752580752
43750,0.04375,-0.0231009628202274
44375,0.044375,-0.0236652588088627
45000,0.045,-0.0242321648134006
45625,0.045625,-0.0248014814723672
46250,0.04625,-0.0253730085439106
46875,0.046875,-0.0259465449765691
47500,0.0475,-0.0265218889805605
48125,0.048125,-0.0270988380995389
48750,0.04875,-0.0276771892822701
49375,0.049375,-0.0282567389550706
50000,0.05,-0.0288372830943302
50625,0.050625,-0.0294186172995047
51250,0.05125,-0.0300005368659164
51875,0.051875,-0.0305828368583082
52500,0.0525,-0.0311653121842949
53125,0.053125,-0.0317477576679693
53750,0.05375,-0.0323299681238262
54375,0.054375,-0.0329117384307717
55000,0.055,-0.0334928636060035
55625,0.055625,-0.0340731388793618
56250,0.05625,-0.034652359767382
56875,0.056875,-0.035230322147541
57500,0.0575,-0.0358068223324043
58125,0.058125,-0.0363816571440713
58750,0.05875,-0.036954623987895
59375,0.059375,-0.0375255209268489
60000,0.06,-0.0380941467553125
60625,0.060625,-0.0386603010729679
61250,0.06125,-0.0392237843584446
61875,0.061875,-0.0397843980427905
62500,0.0625,-0.0403419445825554
63125,0.063125,-0.0408962275331355
63750,0.06375,-0.0414470516213352
64375,0.064375,-0.0419942228178546
65000,0.065,-0.0425375484094978
65625,0.065625,-0.0430768370709018
66250,0.06625,-0.0436118989362205
66875,0.066875,-0.0441425456697585
67500,0.0675,-0.0446685905371389
68125,0.068125,-0.0451898484749494
68750,0.06875,-0.0457061361608749
69375,0.069375,-0.046217272082735
70000,0.07,-0.0467230766072473
70625,0.070625,-0.0472233720480032
71250,0.07125,-0.0477179827332716
71875,0.071875,-0.0482067350727964
72500,0.0725,-0.0486894576241746
73125,0.073125,-0.0491659811586593
73750,0.07375,-0.0496361387258762
74375,0.074375,-0.0500997657184883
75000,0.075,-0.0505566999354916
75625,0.075625,-0.0510067816451799
76250,0.07625,-0.0514498536470449
76875,0.076875,-0.0518857613332313
77500,0.0775,-0.0523143527487916
78125,0.078125,-0.0527354786512884
78750,0.07875,-0.0531489925695626
79375,0.079375,-0.0535547508612809
80000,0.08,-0.0539526127702276
80625,0.080625,-0.0543424404817884
81250,0.08125,-0.0547240991782499
81875,0.081875,-0.0550974570925557
82500,0.0825,-0.0554623855614146
83125,0.083125,-0.0558187590772094
83750,0.08375,-0.0561664553388176
84375,0.084375,-0.0565053553014034
85000,0.085,-0.0568353432251624
85625,0.085625,-0.0571563067231169
86250,0.08625,-0.0574681368071496
86875,0.086875,-0.0577707279336363
87500,0.0875,-0.058063978047479
88125,0.088125,-0.0583477886250465
88750,0.08875,-0.0586220647158779
89375,0.089375,-0.0588867149832081
90000,0.09,-0.0591416517431882
90625,0.090625,-0.0593867910028311
91250,0.09125,-0.0596220524967834
91875,0.091875,-0.0598473597228094
92500,0.0925,-0.0600626399755574
93125,0.093125,-0.0602678243796577
93750,0.09375,-0.0604628479210097
94375,0.094375,-0.0606476494768654
95000,0.095,-0.0608221718444617
95625,0.095625,-0.0609863617683303
