mode,design_method,rbw_hz,cic_r,cic_n,fs_out_hz,fir_taps,fir_cutoff_norm,bw_3db_hz,bw_6db_hz,enbw_main_hz,enbw_full_adc_hz,enbw_main_over_rbw,enbw_full_over_rbw,enbw_error_pct,noise_correction_db,passband_flatness_db,att_0p5_x_rbw_db,att_1_x_rbw_db,att_2_x_rbw_db,att_5_x_rbw_db,att_10_x_rbw_db
1K,hamming_sinc,1000,13000,5,10000,256,0.1,979.303737282369,996.816024819925,1869.96454821446,1083.33870960951,1.86996454821446,1.08333870960951,86.9964548214458,2.7183337302806,0.112436667560504,-0.173500167912516,-6.7336273831544,-77.5093950112614,-113.260478092283,-1598.98007039836
10K,hamming_sinc,10000,1300,5,100000,256,0.1,9793.03740486852,9968.16026706064,18699.6460408202,18817.813411876,1.86996460408202,1.8817813411876,86.9964604082019,2.71833386003158,0.112436600602699,-0.173500063290933,-6.73362696466804,-77.509393337316,-113.260467630124,-1574.39082243701
30K,hamming_sinc,30000,433,5,300230.946882217,256,0.0999230769230769,29378.7754058157,29904.5266429065,56098.7152998844,56098.7136588517,1.86995717666281,1.86995712196172,86.9957176662813,2.71831661000676,0.112343751460391,-0.173781062989219,-6.73267213523751,-79.1626671164473,-103.892815796617,-311.360318471944
100K,hamming_sinc,100000,130,5,1000000,128,0.1,95882.2440357712,99355.1177150996,183915.009992576,183915.001866199,1.83915009992576,1.83915001866199,83.9150099925763,2.64617175083276,0.130368584294599,-0.187190374020233,-6.74613262514782,-67.8752485432077,-99.0729743272207,-1574.38663749123
300K,hamming_sinc,300000,43,4,3023255.81395349,128,0.0992307692307692,288215.477999581,298472.150958028,557799.394440372,557799.370749014,1.85933131480124,1.85933123583005,85.9331314801241,2.69356783730721,0.101803036135742,-0.147713070404939,-6.58856805495913,-67.1279058915533,-85.2938241660826,-168.832202560302
1M,hamming_sinc,1000000,13,4,10000000,64,0.1,922787.75966189,990138.96733823,1807416.42063034,1807416.3913124,1.80741642063034,1.8074163913124,80.7416420630336,2.57058223588539,0.0892395648129671,-0.133145934904766,-6.57425068831083,-65.6600067584233,-98.9561494960127,-1278.84522511169
