offset_hz,cic_db,fir_db,total_db
0.0,0.0,-1.9286549331065743e-15,-1.9286549331065743e-15
1.0,-7.143858416097865e-09,5.058253463774748e-07,4.986814874130741e-07
2.0,-2.857541923473294e-08,2.0232299372707965e-06,1.9946545179419292e-06
3.0,-6.429467774002828e-08,4.551999391442947e-06,4.487704713646269e-06
4.0,-1.1430167171702282e-07,8.091776441320839e-06,7.977474770011303e-06
5.0,-1.7859634451716983e-07,1.2642060868044514e-05,1.2463464524065248e-05
6.0,-2.571787350308498e-07,1.8202209511983015e-05,1.79450307778035e-05
7.0,-3.500488368955588e-07,2.477143627771314e-05,2.442138744008596e-05
8.0,-4.572066418906446e-07,3.2348812089101785e-05,3.18916054469842e-05
9.0,-5.786521399373063e-07,4.093326488706678e-05,4.035461274794754e-05
10.0,-7.143853750295925e-07,5.052357957936924e-05,4.980919420349565e-05
11.0,-8.64406297692287e-07,6.111839803501198e-05,6.025399173773586e-05
12.0,-1.0287149289165914e-06,7.271621903259692e-05,7.168750410346598e-05
13.0,-1.2073112685490083e-06,8.531539825714453e-05,8.410808698888939e-05
14.0,-1.400195321328185e-06,9.89141482277272e-05,9.751395290663518e-05
15.0,-1.607367083384328e-06,0.00011351053827742028,0.0001119031711948801
16.0,-1.828826562490082e-06,0.00012910249448528066,0.0001272736679222788
17.0,-2.064573722129526e-06,0.0001456877996664266,0.00014362322594356573
18.0,-2.3146086058964417e-06,0.0001632640932601418,0.00016094948465452947
19.0,-2.5789312034527694e-06,0.00018182887135708057,0.00017924994015416386
20.0,-2.857541496816333e-06,0.0002013794865569935,0.0001985219450599015
21.0,-3.1504395047199184e-06,0.00022191314795397992,0.00021876270844844333
22.0,-3.457625218001311e-06,0.00024342692107954693,0.00023996929586239302
23.0,-3.7790986613202814e-06,0.00026591772779961724,0.00026213862913776237
24.0,-4.114859781296546e-06,0.0002893823462638429,0.0002852674864824257
25.0,-4.4649086229817725e-06,0.0003138174108358646,0.0003093525022134398
26.0,-4.829245180388759e-06,0.0003392194119929451,0.0003343901668128105
27.0,-5.207869440850515e-06,0.00036558469626825856,0.0003603768268272664
28.0,-5.600781403342487e-06,0.00039290946616062257,0.00038730868475668614
29.0,-6.0079810929474906e-06,0.0004211897800386681,0.0004151817989466039
30.0,-6.429468481780806e-06,0.00045042155205294817,0.0004439920835715769
31.0,-6.8652435834943235e-06,0.0004806005520540522,0.00047373530847027117
32.0,-7.315306404095819e-06,0.0005117224054665832,0.0005044070990617627
33.0,-7.779656915912085e-06,0.0005437825932231371,0.0005360029363064076
34.0,-8.25829514148549e-06,0.0005767764516444963,0.0005685181565029977
35.0,-8.751221078356374e-06,0.0006106991723238942,0.0006019479512461934
36.0,-9.258434720278274e-06,0.0006455458020327029,0.0006362873673128074
37.0,-9.779936103505682e-06,0.0006813112426089702,0.0006715313065058639
38.0,-1.0315725174681047e-05,0.0007179902508191648,0.0007076745256454273
39.0,-1.0865801953806292e-05,0.0007555774382606201,0.0007447116363069933
40.0,-1.1430166445524593e-05,0.0007940672712448942,0.0007826371047992127
41.0,-1.2008818660335605e-05,0.000833454070638899,0.0008214452519778837
42.0,-1.2601758579879623e-05,0.0008737320117756485,0.0008611302531951301
43.0,-1.3208986214797318e-05,0.0009148951243015584,0.0009016861380867735
44.0,-1.3830501564227918e-05,0.0009569372920393616,0.0009431067904755992
45.0,-1.446630461580921e-05,0.0009998522528743502,0.0009853859482593734
46.0,-1.5116395393893993e-05,0.0010436335985848722,0.0010285172031910476
47.0,-1.5780773873724784e-05,0.001088274774709649,0.0010724940008365524
48.0,-1.6459440076902416e-05,0.0011337690804191245,0.0011173096403418476
49.0,-1.7152393979774743e-05,0.0011801096683445578,0.0011629572743640582
50.0,-1.7859635611798244e-05,0.001227289544432356,0.0012094299088214993
51.0,-1.8581164958140755e-05,0.0012753015677869999,0.0012567204028289946
52.0,-1.9316982005969274e-05,0.0013241384505372693,0.0013048214685311395
53.0,-2.0067086771451182e-05,0.001373792757625493,0.0013537256708547314
54.0,-2.0831479258288102e-05,0.0014242569067030092,0.0014034254274445422
