offset_hz,cic_db,fir_db,total_db
0.0,0.0,-1.9286549331065743e-15,-1.9286549331065743e-15
416.6666666666667,-9.863314191390755e-08,1.4399420736244891e-07,4.536106708367624e-08
833.3333333333334,-3.945325830547854e-07,5.75969827610668e-07,1.8143724468088222e-07
1250.0,-8.87698322368053e-07,1.2959058417301713e-06,4.082075196908954e-07
1666.6666666666667,-1.5781303471670267e-06,2.3037672482573414e-06,7.256369011413117e-07
2083.3333333333335,-2.4658286871352637e-06,3.599505020866425e-06,1.133676331475407e-06
2500.0,-3.5507933362160234e-06,5.18305613925236e-06,1.6322628022791003e-06
2916.666666666667,-4.833024304685952e-06,7.0543435853047756e-06,2.221319282930585e-06
3333.3333333333335,-6.312521589260914e-06,9.213276343146235e-06,2.9007547514708484e-06
3750.0,-7.989285225169706e-06,1.165974940303474e-05,3.6704641772600017e-06
4166.666666666667,-9.863315195507195e-06,1.4393643765273155e-05,4.530328569210029e-06
4583.333333333334,-1.1934611528631464e-05,1.7414826446054203e-05,5.4802149198723695e-06
5000.0,-1.4203174243197095e-05,2.0723150487169687e-05,6.519976244031722e-06
5416.666666666667,-1.666900334815515e-05,2.431845496186927e-05,7.649451611516008e-06
5833.333333333334,-1.9332098858182403e-05,2.820056495758238e-05,8.868466097076374e-06
6250.0,-2.2192460790788362e-05,3.236929162807834e-05,1.0176830836345271e-05
6666.666666666667,-2.5250089165350922e-05,3.682443214534365e-05,1.1574342979578018e-05
7083.333333333334,-2.8504984020474276e-05,4.1565769765256276e-05,1.3060785745686435e-05
7500.0,-3.1957145356129117e-05,4.659307379490578e-05,1.4635928439630133e-05
7916.666666666667,-3.5606573209834684e-05,5.190609961392237e-05,1.629952640616437e-05
8333.333333333334,-3.945326759397728e-05,5.750458869195541e-05,1.805132109738045e-05
8750.0,-4.349722854788409e-05,6.338826858494358e-05,1.9891040036100923e-05
9166.666666666668,-4.773845608574932e-05,6.95568529583928e-05,2.1818396871852154e-05
9583.333333333334,-5.217695026028006e-05,7.601004159137443e-05,2.3833091332691654e-05
10000.0,-5.6812711074941954e-05,8.274752039017335e-05,2.593480931590032e-05
10416.666666666668,-6.164573858521421e-05,8.976896140387136e-05,2.8123222816669963e-05
10833.333333333334,-6.66760328069779e-05,9.70740228322226e-05,3.0397990022656693e-05
11250.0,-7.190359378691224e-05,0.00010466234903932146,3.2758755252315664e-05
11666.666666666668,-7.732842154656319e-05,0.00011253357057884898,3.5205149034028986e-05
12083.333333333334,-8.295051613538187e-05,0.0001206873041923248,3.773678805601621e-05
12500.0,-8.876987759311552e-05,0.0001291231528324378,4.035327523968003e-05
