offset_hz,response_db
0.0,0.0
600.0,-2.2694796833255442e-05
1200.0,-9.064155226595168e-05
1800.0,-0.00020342827397749555
2400.0,-0.000360371345068069
3000.0,-0.0005605200590678146
3600.0,-0.0008026629284244785
4200.0,-0.0010853357258947339
4800.0,-0.001406831207481246
5400.0,-0.0017652104545019063
6000.0,-0.0021583157617634206
6600.0,-0.0025837849890835117
7200.0,-0.0030390672833851937
7800.0,-0.003521440069736704
8400.0,-0.0040280272011137255
9000.0,-0.004555818149031887
9600.0,-0.005101688109593884
10200.0,-0.0056624188937523185
10800.0,-0.00623472046452225
11400.0,-0.006815252979246035
12000.0,-0.007400649191523792
12600.0,-0.007987537064051356
13200.0,-0.008572562442010805
13800.0,-0.009152411635516921
14400.0,-0.009723833759825372
15000.0,-0.01028366268301623
15600.0,-0.01082883843278184
16200.0,-0.011356427917603587
16800.0,-0.011863644820975171
17400.0,-0.01234786853320368
18000.0,-0.012806661990834403
18600.0,-0.0132377883012608
19200.0,-0.013639226037556464
19800.0,-0.01400918309775023
20400.0,-0.014346109032132737
21000.0,-0.014648705752479792
21600.0,-0.014915936547808362
22200.0,-0.015147033343677063
22800.0,-0.015341502152467412
23400.0,-0.015499126676274918
24000.0,-0.015619970035330565
24600.0,-0.015704374608501194
25200.0,-0.015752959985424263
25800.0,-0.015766619042580716
26400.0,-0.015746512168791617
27000.0,-0.01569405967844934
27600.0,-0.015610932463092402
28200.0,-0.015499040944216232
28800.0,-0.015360522401864668
29400.0,-0.015197726764536658
30000.0,-0.015013200956522681
30600.0,-0.014809671908635086
31200.0,-0.014590028347070629
31800.0,-0.014357301483468116
32400.0,-0.01411464473662966
33000.0,-0.013865312622265619
33600.0,-0.01361263895319519
34200.0,-0.013360014496133983
34800.0,-0.013110864235144085
35400.0,-0.012868624393600177
36000.0,-0.01263671936855568
36600.0,-0.012418538730880328
37200.0,-0.012217414444412477
37800.0,-0.012036598455434831
38400.0,-0.011879240800769719
39000.0,-0.011748368379762007
39600.0,-0.011646864530136084
40200.0,-0.011577449542673738
40800.0,-0.011542662243338954
41400.0,-0.011544842764137956
42000.0,-0.01158611661644849
42600.0,-0.011668380171903534
43200.0,-0.011793287646820975
43800.0,-0.01196223967648304
44400.0,-0.01217637355537907
45000.0,-0.012436555208605964
45600.0,-0.012743372949256848
46200.0,-0.013097133064306833
46800.0,-0.013497857260670149
47400.0,-0.013945281990859485
48000.0,-0.014438859666009078
48600.0,-0.014977761751602259
49200.0,-0.015560883729703781
49800.0,-0.016186851899197052
50400.0,-0.016854031973847862
51000.0,-0.017560539426577804
51600.0,-0.018304251516534014
52200.0,-0.019082820924970472
52800.0,-0.019893690915278175
53400.0,-0.020734111922026635
54000.0,-0.021601159464639186
54600.0,-0.02249175327219877
55200.0,-0.023402677497234844
55800.0,-0.024330601889100294
56400.0,-0.025272103790389605
57000.0,-0.026223690813563523
57600.0,-0.02718182405045375
