mode,rbw_hz,cic_r,cic_n,fs_out_hz,fir_taps,fir_cutoff_norm,bw_3db_hz,bw_6db_hz,enbw_main_hz,enbw_full_adc_hz,enbw_main_over_rbw,enbw_full_over_rbw,noise_correction_db,att_0.5x_rbw_db,att_1x_rbw_db,att_2x_rbw_db,att_5x_rbw_db,att_10x_rbw_db,att_10khz_db
1K,1000.0,13000,5,10000.0,256,0.1,979.3136478091623,996.8174171119259,1869.9645482144565,2045.0650805864038,1.8699645482144565,2.045065080586404,2.7183337302805946,-0.17350016791251632,-6.733627383154401,-77.50939501126093,-113.2604780923527,-1598.980070398359,-1598.980070398359
10K,10000.0,1300,5,100000.0,256,0.1,9793.136509889979,9968.174189986607,18699.64604082019,18695.79193487955,1.869964604082019,1.869579193487955,2.718333860031577,-0.17350006329092865,-6.733626964668088,-77.50939333724689,-113.26046763019346,-1574.3908224370084,-6.733626964668088
30K,30000.0,433,5,300230.9468822171,256,0.09992307692307693,29379.074751281827,29904.56840275407,56098.715299884425,56098.713895267516,1.8699571766628142,1.8699571298422506,2.718316610006766,-0.17378106298921686,-6.732672135237507,-79.1626671164508,-103.8928157966103,-311.3603184719444,-0.07590817083609187
100K,100000.0,130,5,1000000.0,128,0.1,95882.75256229575,99355.16679512722,183915.0099925753,183915.0078633068,1.839150099925753,1.839150078633068,2.646171750832735,-0.18719037402023062,-6.746132625147774,-67.87524854328103,-99.07297432717534,-1574.3866374912316,-0.02018883784612696
300K,300000.0,43,4,3023255.8139534886,128,0.09923076923076922,288216.84787535924,298472.30631830153,557799.3944403682,557799.38865257,1.8593313148012272,1.8593312955085666,2.693567837307176,-0.1477130704049428,-6.588568054959133,-67.12790589155324,-85.29382416608291,-168.83220256030185,-0.005474059280151449
1M,1000000.0,13,4,10000000.0,64,0.1,922789.99632869,990139.0176511575,1807416.4206303258,1807416.4213971687,1.8074164206303258,1.8074164213971686,2.5705822358853627,-0.13314593490476795,-6.574250688310828,-65.66000675842307,-98.9561494960056,-1278.845225111691,2.593480931590032e-05
