rbw,repeat,return_code,ok,points_received,peak_hz,peak_dbm,marker_hz,marker_dbm,error_vs_ref_db,suggested_correction_db,sweep_err,sweep_frame_ready,sweep_dma_err,sweep_dmasr,sweep_last_irq,sweep_accum,sweep_target,pl_mode,pl_fs_hz,pl_decim,pl_drop,pl_err,capture_csv
1m,1,0,1,1,1000000000,-14.78,1000000000,-14.78,-4.78,4.78,0,1,0,0x00000002,0x00001000,2944,512,0,10000000,13,3445732,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195230.csv
300k,1,0,1,1,1000000000,-11.07,1000000000,-11.07,-1.07,1.07,0,1,0,0x00000002,0x00001000,2944,576,1,3250000,40,3335183,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195241.csv
100k,1,0,1,1,1000000000,-12.87,1000000000,-12.87,-2.87,2.87,0,1,0,0x00000002,0x00001000,2944,576,2,1000000,130,2966500,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195252.csv
30k,1,0,1,1,1000000000,-15.15,1000000000,-15.15,-5.15,5.15,0,1,0,0x00000002,0x00001000,2944,576,3,325000,400,1862109,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195303.csv
10k,1,0,1,1,1000000000,-10.93,1000000000,-10.93,-0.93,0.93,0,1,0,0x00000002,0x00001000,2944,2944,4,100000,1300,0,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195314.csv
1k,1,0,1,1,1000000000,-10.93,1000000000,-10.93,-0.93,0.93,0,1,0,0x00000002,0x00001000,2944,1152,5,100000,1300,0,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195325.csv
