frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,5,21,0,0,995000000,-78.720009
3,5,21,1,0,995500000,-78.006233
4,5,21,2,0,996000000,-77.978233
5,5,21,3,0,996500000,-78.528526
6,5,21,4,0,997000000,-78.043571
7,5,21,5,0,997500000,-79.107353
8,5,21,6,0,998000000,-78.404457
9,5,21,7,0,998500000,-78.462883
10,5,21,8,0,999000000,-76.900230
11,5,21,9,0,999500000,-31.417646
12,5,21,10,0,1000000000,-28.404131
13,5,21,11,0,1000500000,-31.510458
14,5,21,12,0,1001000000,-74.346291
15,5,21,13,0,1001500000,-78.219322
16,5,21,14,0,1002000000,-77.395927
17,5,21,15,0,1002500000,-79.510887
18,5,21,16,0,1003000000,-78.773827
19,5,21,17,0,1003500000,-79.023689
20,5,21,18,0,1004000000,-77.615440
21,5,21,19,0,1004500000,-77.673012
22,5,21,20,1,1005000000,-79.645943
