frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,7,21,0,0,999995000,-92.895790
3,7,21,1,0,999995500,-91.133110
4,7,21,2,0,999996000,-90.908287
5,7,21,3,0,999996500,-89.982277
6,7,21,4,0,999997000,-91.644463
7,7,21,5,0,999997500,-89.678902
8,7,21,6,0,999998000,-85.775490
9,7,21,7,0,999998500,-81.414513
10,7,21,8,0,999999000,-47.681847
11,7,21,9,0,999999500,-28.273676
12,7,21,10,0,1000000000,-28.458990
13,7,21,11,0,1000000500,-73.574318
14,7,21,12,0,1000001000,-87.562218
15,7,21,13,0,1000001500,-85.991524
16,7,21,14,0,1000002000,-88.523064
17,7,21,15,0,1000002500,-89.060204
18,7,21,16,0,1000003000,-91.341805
19,7,21,17,0,1000003500,-92.268776
20,7,21,18,0,1000004000,-92.337929
21,7,21,19,0,1000004500,-91.032127
22,7,21,20,1,1000005000,-91.833763
