frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,3,21,0,0,999995000,-105.988808
3,3,21,1,0,999995500,-105.988808
4,3,21,2,0,999996000,-105.988808
5,3,21,3,0,999996500,-105.988808
6,3,21,4,0,999997000,-105.988808
7,3,21,5,0,999997500,-105.251030
8,3,21,6,0,999998000,-103.980476
9,3,21,7,0,999998500,-105.988808
10,3,21,8,0,999999000,-97.551857
11,3,21,9,0,999999500,-68.356392
12,3,21,10,0,1000000000,-68.299080
13,3,21,11,0,1000000500,-102.720940
14,3,21,12,0,1000001000,-105.988808
15,3,21,13,0,1000001500,-105.988808
16,3,21,14,0,1000002000,-105.988808
17,3,21,15,0,1000002500,-105.988808
18,3,21,16,0,1000003000,-105.988808
19,3,21,17,0,1000003500,-105.988808
20,3,21,18,0,1000004000,-105.988808
21,3,21,19,0,1000004500,-105.926872
22,3,21,20,1,1000005000,-105.988808
