frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,372,21,0,0,999995000,-89.904701
3,372,21,1,0,999995500,-96.769875
4,372,21,2,0,999996000,-86.926414
5,372,21,3,0,999996500,-93.875267
6,372,21,4,0,999997000,-92.013832
7,372,21,5,0,999997500,-90.201302
8,372,21,6,0,999998000,-89.789879
9,372,21,7,0,999998500,-79.887611
10,372,21,8,0,999999000,-61.364735
11,372,21,9,0,999999500,-28.270815
12,372,21,10,0,1000000000,-28.120138
13,372,21,11,0,1000000500,-71.855659
14,372,21,12,0,1000001000,-83.653572
15,372,21,13,0,1000001500,-87.070961
16,372,21,14,0,1000002000,-99.075752
17,372,21,15,0,1000002500,-91.500847
18,372,21,16,0,1000003000,-88.648750
19,372,21,17,0,1000003500,-95.784889
20,372,21,18,0,1000004000,-91.289818
21,372,21,19,0,1000004500,-91.971687
22,372,21,20,1,1000005000,-89.577354
