frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,7,21,0,0,999995000,-105.988808
3,7,21,1,0,999995500,-105.988808
4,7,21,2,0,999996000,-105.525475
5,7,21,3,0,999996500,-105.988808
6,7,21,4,0,999997000,-105.988808
7,7,21,5,0,999997500,-105.988808
8,7,21,6,0,999998000,-105.988808
9,7,21,7,0,999998500,-105.988808
10,7,21,8,0,999999000,-95.224724
11,7,21,9,0,999999500,-68.417686
12,7,21,10,0,1000000000,-68.337257
13,7,21,11,0,1000000500,-101.951469
14,7,21,12,0,1000001000,-104.724449
15,7,21,13,0,1000001500,-105.988808
16,7,21,14,0,1000002000,-105.988808
17,7,21,15,0,1000002500,-105.558952
18,7,21,16,0,1000003000,-104.078011
19,7,21,17,0,1000003500,-105.988808
20,7,21,18,0,1000004000,-105.988808
21,7,21,19,0,1000004500,-105.988808
22,7,21,20,1,1000005000,-105.988808
