frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,1,21,0,0,999995000,-105.280479
3,1,21,1,0,999995500,-105.913109
4,1,21,2,0,999996000,-105.671913
5,1,21,3,0,999996500,-105.988808
6,1,21,4,0,999997000,-105.944572
7,1,21,5,0,999997500,-105.456734
8,1,21,6,0,999998000,-104.246269
9,1,21,7,0,999998500,-105.988808
10,1,21,8,0,999999000,-104.572365
11,1,21,9,0,999999500,-103.141426
12,1,21,10,0,1000000000,-99.090797
13,1,21,11,0,1000000500,-102.253822
14,1,21,12,0,1000001000,-105.163841
15,1,21,13,0,1000001500,-104.358727
16,1,21,14,0,1000002000,-105.425591
17,1,21,15,0,1000002500,-105.988808
18,1,21,16,0,1000003000,-105.988808
19,1,21,17,0,1000003500,-105.988808
20,1,21,18,0,1000004000,-105.988808
21,1,21,19,0,1000004500,-105.988808
22,1,21,20,1,1000005000,-104.546806
