frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,376,21,0,0,999995000,-90.564568
3,376,21,1,0,999995500,-90.925606
4,376,21,2,0,999996000,-85.344215
5,376,21,3,0,999996500,-91.572105
6,376,21,4,0,999997000,-91.083656
7,376,21,5,0,999997500,-88.135460
8,376,21,6,0,999998000,-88.543739
9,376,21,7,0,999998500,-79.955727
10,376,21,8,0,999999000,-58.800152
11,376,21,9,0,999999500,-28.270288
12,376,21,10,0,1000000000,-28.120993
13,376,21,11,0,1000000500,-70.793297
14,376,21,12,0,1000001000,-87.217766
15,376,21,13,0,1000001500,-88.036186
16,376,21,14,0,1000002000,-90.843239
17,376,21,15,0,1000002500,-88.675117
18,376,21,16,0,1000003000,-92.093071
19,376,21,17,0,1000003500,-95.519783
20,376,21,18,0,1000004000,-95.778679
21,376,21,19,0,1000004500,-94.781914
22,376,21,20,1,1000005000,-93.301613
