frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,370,21,0,0,999850000,-81.411568
3,370,21,1,0,999865000,-81.562508
4,370,21,2,0,999880000,-81.572548
5,370,21,3,0,999895000,-81.109901
6,370,21,4,0,999910000,-82.008369
7,370,21,5,0,999925000,-79.743614
8,370,21,6,0,999940000,-79.293663
9,370,21,7,0,999955000,-78.282036
10,370,21,8,0,999970000,-77.172142
11,370,21,9,0,999985000,-29.797762
12,370,21,10,0,1000000000,-28.307501
13,370,21,11,0,1000015000,-32.431248
14,370,21,12,0,1000030000,-77.948814
15,370,21,13,0,1000045000,-77.254509
16,370,21,14,0,1000060000,-78.274300
17,370,21,15,0,1000075000,-78.466774
18,370,21,16,0,1000090000,-76.403496
19,370,21,17,0,1000105000,-80.084694
20,370,21,18,0,1000120000,-82.305840
21,370,21,19,0,1000135000,-82.051826
22,370,21,20,1,1000150000,-82.574959
