frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,8,21,0,0,999995000,-92.934395
3,8,21,1,0,999995500,-90.762764
4,8,21,2,0,999996000,-91.925484
5,8,21,3,0,999996500,-88.916130
6,8,21,4,0,999997000,-90.307625
7,8,21,5,0,999997500,-88.328758
8,8,21,6,0,999998000,-86.121498
9,8,21,7,0,999998500,-82.186668
10,8,21,8,0,999999000,-47.578831
11,8,21,9,0,999999500,-28.275328
12,8,21,10,0,1000000000,-28.470346
13,8,21,11,0,1000000500,-73.599525
14,8,21,12,0,1000001000,-89.609596
15,8,21,13,0,1000001500,-86.369469
16,8,21,14,0,1000002000,-88.968987
17,8,21,15,0,1000002500,-88.820442
18,8,21,16,0,1000003000,-90.577721
19,8,21,17,0,1000003500,-91.469337
20,8,21,18,0,1000004000,-90.905708
21,8,21,19,0,1000004500,-90.300484
22,8,21,20,1,1000005000,-92.119850
