frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,367,21,0,0,995000000,-76.920769
3,367,21,1,0,995500000,-78.178490
4,367,21,2,0,996000000,-79.110664
5,367,21,3,0,996500000,-79.523842
6,367,21,4,0,997000000,-79.853951
7,367,21,5,0,997500000,-77.550865
8,367,21,6,0,998000000,-79.198494
9,367,21,7,0,998500000,-78.463432
10,367,21,8,0,999000000,-73.592262
11,367,21,9,0,999500000,-31.342989
12,367,21,10,0,1000000000,-28.311697
13,367,21,11,0,1000500000,-31.415022
14,367,21,12,0,1001000000,-75.552620
15,367,21,13,0,1001500000,-78.271049
16,367,21,14,0,1002000000,-79.411217
17,367,21,15,0,1002500000,-78.902077
18,367,21,16,0,1003000000,-78.997017
19,367,21,17,0,1003500000,-79.831367
20,367,21,18,0,1004000000,-79.366066
21,367,21,19,0,1004500000,-78.040565
22,367,21,20,1,1005000000,-78.123421
