frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,3,21,0,0,995000000,-77.518288
3,3,21,1,0,995500000,-77.884697
4,3,21,2,0,996000000,-78.744804
5,3,21,3,0,996500000,-77.558388
6,3,21,4,0,997000000,-79.483116
7,3,21,5,0,997500000,-79.416481
8,3,21,6,0,998000000,-78.579399
9,3,21,7,0,998500000,-78.758522
10,3,21,8,0,999000000,-82.103294
11,3,21,9,0,999500000,-79.730064
12,3,21,10,0,1000000000,-79.696678
13,3,21,11,0,1000500000,-79.916908
14,3,21,12,0,1001000000,-77.603554
15,3,21,13,0,1001500000,-77.784172
16,3,21,14,0,1002000000,-77.004112
17,3,21,15,0,1002500000,-79.455513
18,3,21,16,0,1003000000,-77.470039
19,3,21,17,0,1003500000,-76.913521
20,3,21,18,0,1004000000,-78.350395
21,3,21,19,0,1004500000,-80.240288
22,3,21,20,1,1005000000,-77.752480
