frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,2,21,0,0,999995000,-105.289742
3,2,21,1,0,999995500,-104.584999
4,2,21,2,0,999996000,-105.988808
5,2,21,3,0,999996500,-105.349571
6,2,21,4,0,999997000,-105.025307
7,2,21,5,0,999997500,-105.988808
8,2,21,6,0,999998000,-105.988808
9,2,21,7,0,999998500,-105.988808
10,2,21,8,0,999999000,-104.426872
11,2,21,9,0,999999500,-101.589806
12,2,21,10,0,1000000000,-99.970055
13,2,21,11,0,1000000500,-102.462837
14,2,21,12,0,1000001000,-104.958031
15,2,21,13,0,1000001500,-105.988808
16,2,21,14,0,1000002000,-105.988808
17,2,21,15,0,1000002500,-105.988808
18,2,21,16,0,1000003000,-102.787758
19,2,21,17,0,1000003500,-104.591850
20,2,21,18,0,1000004000,-105.189537
21,2,21,19,0,1000004500,-103.797142
22,2,21,20,1,1000005000,-105.033363
