frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,371,21,0,0,999950000,-90.465538
3,371,21,1,0,999955000,-92.007500
4,371,21,2,0,999960000,-93.458427
5,371,21,3,0,999965000,-97.598778
6,371,21,4,0,999970000,-93.047203
7,371,21,5,0,999975000,-97.332512
8,371,21,6,0,999980000,-98.641960
9,371,21,7,0,999985000,-91.040031
10,371,21,8,0,999990000,-95.966667
11,371,21,9,0,999995000,-92.770195
12,371,21,10,0,1000000000,-29.746061
13,371,21,11,0,1000005000,-90.535957
14,371,21,12,0,1000010000,-96.929146
15,371,21,13,0,1000015000,-97.085289
16,371,21,14,0,1000020000,-89.684685
17,371,21,15,0,1000025000,-91.248741
18,371,21,16,0,1000030000,-99.792397
19,371,21,17,0,1000035000,-92.678108
20,371,21,18,0,1000040000,-95.774315
21,371,21,19,0,1000045000,-93.128487
22,371,21,20,1,1000050000,-91.255486
