frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,375,21,0,0,999995000,-93.694466
3,375,21,1,0,999995500,-88.974327
4,375,21,2,0,999996000,-90.501442
5,375,21,3,0,999996500,-87.289436
6,375,21,4,0,999997000,-91.142784
7,375,21,5,0,999997500,-89.927116
8,375,21,6,0,999998000,-86.602257
9,375,21,7,0,999998500,-80.328087
10,375,21,8,0,999999000,-59.457157
11,375,21,9,0,999999500,-28.270304
12,375,21,10,0,1000000000,-28.121847
13,375,21,11,0,1000000500,-70.945717
14,375,21,12,0,1000001000,-83.225548
15,375,21,13,0,1000001500,-85.875908
16,375,21,14,0,1000002000,-89.349098
17,375,21,15,0,1000002500,-88.475792
18,375,21,16,0,1000003000,-91.096077
19,375,21,17,0,1000003500,-88.645882
20,375,21,18,0,1000004000,-93.102913
21,375,21,19,0,1000004500,-85.904305
22,375,21,20,1,1000005000,-91.587730
