frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,1,21,0,0,999950000,-97.282555
3,1,21,1,0,999955000,-97.121712
4,1,21,2,0,999960000,-92.126289
5,1,21,3,0,999965000,-97.635933
6,1,21,4,0,999970000,-98.704475
7,1,21,5,0,999975000,-97.023186
8,1,21,6,0,999980000,-96.390129
9,1,21,7,0,999985000,-96.840843
10,1,21,8,0,999990000,-95.106483
11,1,21,9,0,999995000,-81.734642
12,1,21,10,0,1000000000,-80.386162
13,1,21,11,0,1000005000,-81.907539
14,1,21,12,0,1000010000,-94.544899
15,1,21,13,0,1000015000,-98.352577
16,1,21,14,0,1000020000,-97.785500
17,1,21,15,0,1000025000,-97.450569
18,1,21,16,0,1000030000,-98.103889
19,1,21,17,0,1000035000,-96.713219
20,1,21,18,0,1000040000,-98.264885
21,1,21,19,0,1000045000,-96.451332
22,1,21,20,1,1000050000,-97.174553
