file,file_type,sample_count,selected_column,peak_freq_hz,peak_bin_freq_hz,peak_power_db,bin_hz,mean,std,top_peaks,condition_note
iladata_1.0000G.csv,CSV / Vivado ILA-style table,1024,system_i/LTC2208_0_adc_data[15:0],40000643.859653,39990234.375000,37.876447,126953.125000,44.985352,56.235422,39990234.375:37.88; 62333984.375:7.02; 55732421.875:6.10; 45576171.875:4.78; 60937500.000:4.72; 45322265.625:4.59; 60175781.250:4.19; 56494140.625:4.06,filename suggests 1.0000 GHz input / expected IF around 40.000 MHz
iladata_1.0001G.csv,CSV / Vivado ILA-style table,1024,system_i/LTC2208_0_adc_data[15:0],40099003.672656,40117187.500000,37.721782,126953.125000,45.960938,55.848606,40117187.500:37.72; 59414062.500:8.55; 42529296.875:6.31; 50019531.250:6.19; 64492187.500:5.63; 53066406.250:5.07; 48876953.125:4.27; 63222656.250:4.14,filename suggests 1.0001 GHz input / expected IF around 40.100 MHz
