file,samples,selected_column,mean_code,rms_code,hann_peak_hz,hann_peak_db_code,fitted_freq_hz,fitted_amp_code,fitted_phase_rad,decim_outputs_from_short_record,final_outputs_after_post_fir,direct_power_dbfs,direct_unclamped_power_dbfs,notes
iladata_1.0000G.csv,1024,system_i/LTC2208_0_adc_data[15:0],44.9853516,72.014613,40000643.9,37.8764466,40000000,78.4182836,1.6584099,7,0,,,"Only 1024 raw samples are present; this is shorter than the 8192-tap FIR decimator, so all direct decimator outputs are startup transient. | Post-RBW FIR needs first_valid=383 decimated samples; short record produced only 7."
iladata_1.0001G.csv,1024,system_i/LTC2208_0_adc_data[15:0],45.9609375,72.3289334,40099003.7,37.7217824,40100000,77.9329551,-0.866003263,7,0,,,"Only 1024 raw samples are present; this is shorter than the 8192-tap FIR decimator, so all direct decimator outputs are startup transient. | Post-RBW FIR needs first_valid=383 decimated samples; short record produced only 7."
