offset_hz,decimator_mag_db,post_10k_fir_mag_db,combined_mag_db
0.0,0.0,-7.907485225737314e-13,-7.907485225737314e-13
250.0,-2.3116011020589196e-06,-0.006468604768977443,-0.006470916370079592
500.0,-9.214270793590598e-06,-0.025921561540121086,-0.025930775810914627
750.0,-2.0611793140692175e-05,-0.05849977663613409,-0.05852038842927479
1000.0,-3.634442445483019e-05,-0.10443637727147817,-0.10447272169593272
1250.0,-5.618981616578461e-05,-0.16405420638324272,-0.16411039619940881
1500.0,-7.98643044257725e-05,-0.23776245103910273,-0.23784231534352857
1750.0,-0.00010702456373944514,-0.32605253114063343,-0.3261595557043726
2000.0,-0.00013726962143424762,-0.42949339946847764,-0.4296306690899115
2250.0,-0.0001701432289094747,-0.5487264209625355,-0.5488965641914454
2500.0,-0.0002051365850269944,-0.6844600082036341,-0.6846651447886616
2750.0,-0.00024169140616074234,-0.8374641916420871,-0.8377058830482476
3000.0,-0.00027920333681645705,-1.0085652979773323,-1.0088445013141485
3250.0,-0.0003170256940009939,-1.1986408993891342,-1.1989579250831348
3500.0,-0.00035447353778322085,-1.4086151814646262,-1.4089696550024091
3750.0,-0.0003908280599107277,-1.6394548601841081,-1.6398456882440182
4000.0,-0.0004253412815609213,-1.8921657597439878,-1.8925911010255483
4250.0,-0.0004572410507001971,-2.167790144726952,-2.168247385777652
4500.0,-0.0004857363289311984,-2.4674048834271813,-2.467890619756113
4750.0,-0.0005100227569089454,-2.792120505045438,-2.792630527802347
5000.0,-0.0005292884869518513,-3.143081202818915,-3.143610491305866
5250.0,-0.0005427202708391731,-3.521465828589502,-3.5220085488603416
5500.0,-0.000549509790080782,-3.9284899223404466,-3.9290394321305278
5750.0,-0.0005488602155305577,-4.3654088232580115,-4.365957683473543
6000.0,-0.0005399929826184113,-4.83352191729797,-4.834061910280588
6250.0,-0.0005221547678308299,-5.334178090518086,-5.334700245285916
6500.0,-0.0004946246518541622,-5.868782478194106,-5.86927710284596
6750.0,-0.00045672145399312043,-6.438804627851122,-6.439261349305116
7000.0,-0.00040781122229949923,-7.045788231086778,-7.046196042309077
7250.0,-0.00034731486326788544,-7.691362626267622,-7.69170994113089
7500.0,-0.00027471589467064684,-8.377256334448226,-8.377531050342897
7750.0,-0.00018956830467708,-9.105312967873306,-9.105502536177983
8000.0,-9.150450017477756e-05,-9.877509949359748,-9.877601453859922
8250.0,1.9756673104028422e-05,-10.695980609036596,-10.695960852363491
8500.0,0.00014440185635553716,-11.563040392728647,-11.56289599087229
8750.0,0.0002825150671119387,-12.481218138560484,-12.480935623493373
9000.0,0.00043406957036277435,-13.453293676625835,-13.452859607055474
9250.0,0.0005989197493903109,-14.482343412323626,-14.481744492574236
9500.0,0.000776792994578447,-15.571796114105105,-15.571019321110528
9750.0,0.000967281628300224,-16.725501911912865,-16.724534630284566
10000.0,0.0011698348841219278,-17.947818633071726,-17.946648798187606
10250.0,0.0013837509582725512,-19.24372123039921,-19.242337479440938
10500.0,0.0016081691515438946,-20.618942471082274,-20.61733430193073
10750.0,0.0018420621191275488,-22.080156714642914,-22.078314652523787
11000.0,0.0020842282462826176,-23.635224297349808,-23.633140069103522
11250.0,0.0023332841668132795,-25.293523135118242,-25.291189850951433
11500.0,0.002587657441565146,-27.066409164898847,-27.06382150745728
11750.0,0.0028455794133718853,-28.96787292619188,-28.96502734677851
12000.0,0.0031050782547592287,-31.015505414229327,-31.012400335974565
12250.0,0.0033639722240298444,-33.23197223801572,-33.22860826579169
12500.0,0.0036198631449624605,-35.64736579436684,-35.64374593122188
12750.0,0.0038701301247615416,-38.30316905966379,-38.299298929539034
13000.0,0.004111923524268061,-41.25941113181159,-41.25529920828732
13250.0,0.004342159193800291,-44.60879568502157,-44.604453525827765
13500.0,0.0045575129873295026,-48.5082196673597,-48.50366215437237
13750.0,0.004754415566952839,-53.262792780392985,-53.258038364826035
14000.0,0.004929047508792493,-59.62595422589433,-59.62102517838553
14250.0,0.005077334720756016,-70.83732911067763,-70.83225177595688
14500.0,0.005194944181713278,-75.14239862589197,-75.13720368171026
14750.0,0.005277280010668318,-67.72596843351756,-67.7206911535069
15000.0,0.0053194798739072385,-66.35827633121468,-66.35295685134078
15250.0,0.005316411736778769,-67.189847514511,-67.18453110277422
15500.0,0.005262670966302601,-69.82515367135204,-69.81989100038574
15750.0,0.005152577789310088,-75.22810126220855,-75.22294868441924
16000.0,0.004980175110536905,-95.70837625054352,-95.70339607543298
16250.0,0.004739226693308161,-77.9041594826777,-77.8994202559844
16500.0,0.004423215705323738,-72.26152206254376,-72.25709884683843
16750.0,0.004025343630347266,-69.77411048006243,-69.77008513643209
17000.0,0.0035385295462140747,-68.72548002821033,-68.72194149866411
17250.0,0.0029554097680757107,-68.6566327800426,-68.65367737027452
17500.0,0.0022683378553563847,-69.45078507934366,-69.4485167414883
17750.0,0.0014693849795212573,-71.20377312150728,-71.20230373652775
18000.0,0.0005503406491599698,-74.34430604119879,-74.34375570054964
18250.0,-0.0004972862123106441,-80.50110198496435,-80.50159927117667
18500.0,-0.0016822658416325007,-101.33313643460303,-101.33481870044466
18750.0,-0.0030136458697529772,-79.22758234897101,-79.23059599484075
19000.0,-0.004500749221997147,-73.94541616054768,-73.94991690976967
19250.0,-0.006153171692296419,-71.14345451122318,-71.14960768291549
19500.0,-0.007980779200138005,-69.5194444289626,-69.52742520816274
19750.0,-0.009993704739636419,-68.66171339116917,-68.67170709590881
20000.0,-0.012202345030753327,-68.40466952938101,-68.41687187441175
20250.0,-0.014617356883410556,-68.69109856333549,-68.70571592021888
20500.0,-0.017249653285795658,-69.53806747928465,-69.55531713257044
20750.0,-0.02011039922867524,-71.04857612786148,-71.06868652709015
21000.0,-0.0232110072781255,-73.48723485283548,-73.5104458601136
21250.0,-0.026563132909389244,-77.58418682138519,-77.61074995429458
21500.0,-0.03017866961521319,-86.69321010035924,-86.72338876997446
21750.0,-0.03406974380209376,-87.786655352583,-87.8207250963851
22000.0,-0.038248709488423314,-78.1046677653549,-78.14291647484332
22250.0,-0.04272814281856212,-73.97574695687469,-74.01847509969325
22500.0,-0.047520836407309947,-71.5648536884335,-71.61237452484082
22750.0,-0.05263979352918466,-70.0791722009949,-70.13181199452409
23000.0,-0.058098222167145414,-69.22608110203583,-69.28417932420298
23250.0,-0.06390952893551081,-68.87713082534759,-68.9410403542831
23500.0,-0.07008731289170217,-68.98098594153905,-69.05107325443075
23750.0,-0.07664535925148645,-69.53756760271244,-69.61421296196393
24000.0,-0.08359763302242987,-70.59845987723256,-70.68205751025499
24250.0,-0.09095827256997714,-72.29409181758118,-72.38505009015117
24500.0,-0.09874158313049872,-74.92497618844118,-75.02371777157167
24750.0,-0.10696203028551518,-79.31912826682449,-79.42609029711001
25000.0,-0.11563423341105003,-89.68147792236041,-89.79711215577147
25250.0,-0.12477295911571729,-87.33941360855937,-87.46418656767509
25500.0,-0.13439311468100607,-78.74942820683438,-78.88382132151538
25750.0,-0.14450974151678825,-74.82756985408345,-74.97207959560025
26000.0,-0.15513800864477514,-72.47975650898391,-72.6348945176287
26250.0,-0.16629320622231775,-70.99755985833693,-71.16385306455925
26500.0,-0.1779907391183794,-70.11022242137147,-70.28821316048986
26750.0,-0.1902461205534472,-69.69529067416136,-69.88553679471481
27000.0,-0.2030749658141773,-69.7001281279295,-69.90320309374367
27250.0,-0.2164929860537359,-70.11686957601133,-70.33336256206506
27500.0,-0.23051598218781277,-70.97924288514702,-71.20975886733483
27750.0,-0.24515983889617254,-72.37795204041218,-72.62311187930835
28000.0,-0.260440518738836,-74.51216967376432,-74.77261019250315
28250.0,-0.2763740563958295,-77.86124556828861,-78.13761962468443
28500.0,-0.29297655303860626,-84.03693496659517,-84.32991151963378
28750.0,-0.3102641708409993,-107.67029556645224,-107.98055973729322
29000.0,-0.32825312763692305,-83.10913725890498,-83.4373903865419
29250.0,-0.34695969173167024,-77.61771986548466,-77.96467955721634
29500.0,-0.3664001768730299,-74.59209187307076,-74.95849204994379
29750.0,-0.38659093738809525,-72.68880689256234,-73.07539782995043
30000.0,-0.40754836349104034,-71.48098376796429,-71.88853213145534
30250.0,-0.42928887676675637,-70.78573540884241,-71.21502428560918
30500.0,-0.4518289258347735,-70.51784548652589,-70.96967441236065
30750.0,-0.4751849821973689,-70.64425565231926,-71.11944063451662
31000.0,-0.499373536275419,-71.16996845824636,-71.66934199452177
31250.0,-0.52441109363507,-72.14016442033572,-72.66457551397079
31500.0,-0.5503141714079265,-73.66061998905424,-74.21093416046216
31750.0,-0.5770992949070286,-75.96014063916004,-76.53723993406706
32000.0,-0.6047829944405536,-79.60536066908384,-80.21014366352438
32250.0,-0.6333818023247539,-86.69647150385319,-87.32985330617795
32500.0,-0.6629122500973497,-97.49499392370257,-98.15790617379992
32750.0,-0.6933908659322434,-82.9100477251072,-83.60343859103946
33000.0,-0.7248341722560997,-78.00664130010803,-78.73147547236412
33250.0,-0.7572586835671042,-75.19710797612555,-75.95436665969265
33500.0,-0.7906809044558089,-73.4052962871034,-74.1959771915592
33750.0,-0.8251173278278278,-72.2636616343457,-73.08877896217352
34000.0,-0.8605844333279296,-71.610000358209,-72.47058479153694
34250.0,-0.8970986859646989,-71.36809051702105,-72.26518920298574
34500.0,-0.9346765349348447,-71.50921337283967,-72.4438899077745
34750.0,-0.9733344126461557,-72.0403615236565,-73.01369593630267
35000.0,-1.013088733937623,-73.00704533854922,-74.02013407248684
35250.0,-1.0539558954954473,-74.51337363033792,-75.56732952583337
35500.0,-1.0959522754632616,-76.78220652202636,-77.87815879748962
35750.0,-1.1390942332449676,-80.35916376335223,-81.4982579965972
36000.0,-1.1833981094983026,-87.21501935167674,-88.39841746117506
36250.0,-1.228880226317367,-100.00928768264158,-101.23816790895894
36500.0,-1.2755568876020849,-84.09055667190441,-85.36611355950647
36750.0,-1.3234443796127284,-79.05012539024216,-80.3735697698549
37000.0,-1.3725589717073534,-76.17738607129435,-77.5499450430017
37250.0,-1.4229169172602623,-74.34122754781825,-75.76414446507852
