rbw,repeat,return_code,ok,points_received,peak_hz,peak_dbm,marker_hz,marker_dbm,error_vs_ref_db,suggested_correction_db,sweep_err,sweep_frame_ready,sweep_dma_err,sweep_dmasr,sweep_last_irq,sweep_accum,sweep_target,pl_mode,pl_fs_hz,pl_decim,pl_drop,pl_err,capture_csv
100k,1,0,1,1,1000000000,-12.81,1000000000,-12.81,-2.81,2.81,0,1,0,0x00000002,0x00001000,2944,576,2,1000000,130,2966459,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195804.csv
1m,1,0,1,1,1000000000,-14.43,1000000000,-14.43,-4.43,4.43,0,1,0,0x00000002,0x00001000,2944,512,0,10000000,13,3445408,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195815.csv
100k,2,0,1,1,1000000000,-12.85,1000000000,-12.85,-2.85,2.85,0,1,0,0x00000002,0x00001000,2944,576,2,1000000,130,2966713,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195826.csv
1m,2,0,1,1,1000000000,-14.19,1000000000,-14.19,-4.19,4.19,0,1,0,0x00000002,0x00001000,2944,512,0,10000000,13,3445682,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195837.csv
100k,3,0,1,1,1000000000,-10.86,1000000000,-10.86,-0.86,0.86,0,1,0,0x00000002,0x00001000,2944,576,2,1000000,130,2966367,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195848.csv
1m,3,0,1,1,1000000000,-14.79,1000000000,-14.79,-4.79,4.79,0,1,0,0x00000002,0x00001000,2944,512,0,10000000,13,3445943,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195859.csv
100k,4,0,1,1,1000000000,-12.85,1000000000,-12.85,-2.85,2.85,0,1,0,0x00000002,0x00001000,2944,576,2,1000000,130,2966828,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195910.csv
1m,4,0,1,1,1000000000,-14.78,1000000000,-14.78,-4.78,4.78,0,1,0,0x00000002,0x00001000,2944,512,0,10000000,13,3445302,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195921.csv
100k,5,0,1,1,1000000000,-11.32,1000000000,-11.32,-1.32,1.32,0,1,0,0x00000002,0x00001000,2944,576,2,1000000,130,2966839,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195932.csv
1m,5,0,1,1,1000000000,-14.78,1000000000,-14.78,-4.78,4.78,0,1,0,0x00000002,0x00001000,2944,512,0,10000000,13,3445691,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195943.csv
